Month,Keyword
2014-03,19
2014-04,26
2014-05,30
2014-06,35
2014-07,53
2014-08,47
2014-09,30
2014-10,26
2014-11,20
2014-12,21
2015-01,19
2015-02,21
2015-03,23
2015-04,28
2015-05,34
2015-06,35
2015-07,62
2015-08,54
2015-09,39
2015-10,27
2015-11,24
2015-12,21
2016-01,20
2016-02,22
2016-03,27
2016-04,32
2016-05,37
2016-06,45
2016-07,59
2016-08,57
2016-09,42
2016-10,29
2016-11,22
2016-12,23
2017-01,20
2017-02,26
2017-03,30
2017-04,36
2017-05,38
2017-06,60
2017-07,68
2017-08,66
2017-09,41
2017-10,31
2017-11,27
2017-12,24
2018-01,31
2018-02,31
2018-03,40
2018-04,46
2018-05,43
2018-06,67
2018-07,79
2018-08,79
2018-09,40
2018-10,32
2018-11,27
2018-12,26
2019-01,27
2019-02,27
2019-03,31
2019-04,37
2019-05,46
2019-06,67
2019-07,78
2019-08,81
2019-09,42
2019-10,31
2019-11,29
2019-12,28
2020-01,30
2020-02,30
2020-03,26
2020-04,16
2020-05,24
2020-06,61
2020-07,100
2020-08,77
2020-09,45
2020-10,34
2020-11,25
2020-12,20
2021-01,22
2021-02,26
2021-03,31
2021-04,26
2021-05,38
2021-06,65
2021-07,98
2021-08,68
2021-09,37
2021-10,29
2021-11,25
2021-12,24
2022-01,24
